stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,0,6.85,0,0,0,32.82,0,0,3.73,0,0,0,0,0,0
 10-12,0,0,4.09,0,0,0,0,0,4.67,4.45,0,5.41,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.08,0,1.85,0,0,0,0,4.15,0,1.13,0.94,0
 24-34,0,0,0,0,0,0,0,0,3.43,0,0,0,0.65,0,0.69,1.44,0.77,0
 36-46,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,2.33,0
 48-58,0,0,0,0,2.01,0,0,0,1.21,0,0,0,4.28,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,3.4
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,3.01,0
 96-106,0,0.87,0,0,6.68,0,1.21,2.9,0,0,1.71,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0
120,0,0,0,2.88,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0
