stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,13.14,0,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,60.46,21.03,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,5,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,12,0,4,47,5,0,0,1,0,0,13,0,2,20,18,0,0,4,0,0
 24-34,0,0,1.64,0.82,3.28,0.82,0,5.75,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0,0,0,10.67,0,4.93,50.07,1.64,2.46,0.82,0,0,0,0,1.64,0.82,2.46,19.7,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,3.22,0,0,0.81,0.81,0.81,0,0,0,0,0,0,0,0,9.67,0,2.42,30.62,0,0,0.81,0,0,0,0,0,0,0.81,1.61,0,0,0.81,0,0
 48-58,0.57,0,0,0,0.57,0,0,10.33,0,0,0.57,2.87,0,0,0.57,0,0,0.57,0,0.57,0.57,14.35,0.57,2.3,24.1,0,0,0,0,0,0.57,0,0,2.3,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,14.72,0.98,0.98,1.96,3.93,0,0,0,0,0,0.98,1.96,0,0,23.56,0.98,1.96,11.78,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,1.96,0,0
 84-94,0,0,0,0,0,1.06,0,9.56,0,0,0,2.12,0,0,0,0,0,0,0,1.06,0,9.56,1.06,3.19,7.43,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,2.19,1.09,0,4.37,0,0,0,1.09,0,0,0,1.09,0,0,0,1.09,0,17.49,0,1.09,7.65,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0,0,0,1.53,8.43,0,0,0.77,2.3,0,0,0,0,0,0.77,1.53,0,0,6.13,0,4.6,8.43,0,0.77,0.77,0,0,0,0,0,0,0,0.77,0,0,2.3,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,3.92,0,0,0,13.72,1.96,5.88,11.76,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
