stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,0,18.4,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,126.18,7.89,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,94.41,6.29,0,0,31.47,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,1,0,1,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,15,2,0,2,0,2,0,1,0,0,9,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0.82,3.28,0,0,0.82,0,0,0.82,0,0,0,1.64,0,0,0.82,0,0,0.82,27.91,0,1.64,1.64,0,6.57,0,0,0,0,10.67,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,9.67,0,0,3.22,0,0,0,0,0,0,0.81,0,0.81,4.83,0,0,4.83,51.56,0,3.22,0.81,0,4.83,0.81,0,0,0,10.47,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,12.05,0.57,0,1.72,0,0,0,0,0,0,0.57,0,0.57,7.46,0,0,0,46.48,0,1.72,0,0,1.15,0,0,0,0,8.61,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,26.5,0.98,0.98,2.94,0,0,0,0,0,0,0,0.98,0.98,6.87,0,0.98,0.98,92.26,0,3.93,0,0,4.91,0,0,0,0,16.69,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,4.91,0,29.45,1.96,0.98,3.93,0,0,0.98,0,0.98,0,0,0,0,6.87,0,0,0.98,69.7,0,1.96,0,0,1.96,0,0,0,0,8.83,0.98,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,16.99,1.06,0,1.06,1.06,0,0,0,0,0,0,0,1.06,9.56,1.06,0,2.12,32.92,1.06,0,0,0,10.62,0,0,0,0,2.12,1.06,0,0,1.06,0
 96-106,0,0,1.09,0,4.37,0,14.21,0,0,2.19,2.19,0,0,0,1.09,1.09,0,1.09,1.09,10.93,1.09,1.09,0,20.76,0,2.19,2.19,0,15.3,1.09,0,0,0,3.28,0,0,2.19,0,1.09
108-118,0,0,0,0,1.53,0,10.72,0,0,3.83,0,0,0,0.77,0.77,0,0.77,0,0,4.6,0.77,0,1.53,26.81,0,1.53,0,0,9.19,0,0,0,0.77,0.77,0.77,0,0,0,0
120,0,0,0,0,3.92,0,19.6,1.96,1.96,1.96,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,35.28,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0
