stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,361.2,0,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0,5.89,0,0,0,0,0,0,0
 72-82,0,0,1.96,4.91,0,639.06,0,0,2.94,0,0,0.98,0,0,0,0,0,0,3.93,0,0.98,0.98,14.72,0,0.98,0,0,1.96,0,0
 84-94,0,0,4.25,1.06,0,611.73,1.06,0,2.12,1.06,0,0,1.06,0,0,0,0,1.06,5.31,1.06,0,2.12,7.43,0,0,1.06,0,2.12,0,0
 96-106,0,0,4.37,7.65,1.09,469.92,1.09,0,3.28,0,0,0,1.09,1.09,1.09,1.09,1.09,0,4.37,0,0,0,9.84,0,0,2.19,1.09,0,1.09,3.28
108-118,0,0,2.3,0.77,0,331.66,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,3.06,0,0,0,11.49,0.77,0,1.53,0,0,0,0.77
120,0,0,3.92,3.92,0,305.73,0,0,3.92,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0,3.92,0,0,1.96,1.96,1.96,0,0
