stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,5,0,0,1,0,0,0,2,3,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0.82,2.46,0,0,8.21,0,1.64,0,0,0,0,0.82,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,0,5.64,0,0.81,5.64,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,3.44,0,0.57,0,0,0,0,0.57,0,1.72,0,0,0,0,9.75,0.57,0,3.44,0,0.57,0,0,0,1.15,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,5.89,0,0,0,0.98,0.98,0,0,0,3.93,1.96,0.98,0,0.98,2.94,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,14.72,0,6.87,0,0.98,0.98,1.96,12.76,0.98,0,2.94,8.83,0,0,0,1.96,2.94,0,0,7.85,0,2.94,0,0,0,0,0,0,1.96,1.96,0.98,2.94,0.98,0
 84-94,0,0,1.06,6.37,15.93,0,2.12,0,0,0,0,31.86,0,0,3.19,20.18,3.19,0,1.06,0,13.81,0,0,7.43,0,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,8.74,20.76,0,5.46,0,0,0,3.28,71.04,0,0,3.28,14.21,4.37,0,0,4.37,6.56,0,0,13.11,0,4.37,0,0,0,14.21,0,0,0,10.93,1.09,2.19,0,0
108-118,0,0,3.06,9.96,24.51,0.77,3.06,0.77,0,0,2.3,104.17,0,0,3.83,9.96,3.06,0.77,0,4.6,4.6,0,0,11.49,0,1.53,0,0,0.77,9.96,0,0,0.77,9.96,0,0.77,0,0.77
120,0,0,1.96,11.76,39.2,0,0,0,1.96,0,1.96,48.99,0,0,15.68,5.88,1.96,1.96,0,1.96,3.92,0,0,5.88,0,1.96,0,0,0,33.32,0,0,0,9.8,0,3.92,0,0
