stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,23.66,0,10.51,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,12.59,3.15,12.59,0,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,0,5,1,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,5.75,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,1.72,0,0.57,0,1.15,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0,0,0,0
