stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,10.51,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,1,4,0,0,0,0,1,0,2,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,6.57,0,0,0,1.64,0,0.82,2.46,0,0.82
 36-46,0,0,0,0.81,0,1.61,0,0.81,2.42,0,0,0,0,0,0.81,0,2.42,0,0.81,9.67,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,0,4.59,0.57,0,2.3,0,0,0,0,0,0,0,4.02,0,0.57,10.9,0.57,0,0,0,0,0,3.44,0,0
 60-70,0,0.98,0,0.98,0,5.89,0,0,0.98,0,0,0,0,0.98,0,0,4.91,0,0,12.76,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0,8.83,0,0.98,1.96,0,0,0,0,0,0,0,5.89,0.98,2.94,12.76,0,0,0,0.98,0,0,2.94,0,0
 84-94,0,0,0,2.12,0,3.19,0,0,1.06,0,0,0,0,0,0,2.12,2.12,0,0,3.19,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,3.28,0,1.09,0,0,0,0,1.09,0,0,0,1.09,0,1.09,5.46,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,0.77,1.53,0,0.77,0,0,0,0.77,0,0,0,0,1.53,0,0,3.83,0,0.77,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0
